week_from,week_until,calendar_week,age,ncumul_firstvacc,ncumul_secondvacc
2021-01-01,2021-01-24,3,0,0,0
2021-01-01,2021-01-24,3,1,0,0
2021-01-01,2021-01-24,3,2,0,0
2021-01-01,2021-01-24,3,3,1,0
2021-01-01,2021-01-24,3,4,0,0
2021-01-01,2021-01-24,3,5,0,0
2021-01-01,2021-01-24,3,6,0,0
2021-01-01,2021-01-24,3,7,0,0
2021-01-01,2021-01-24,3,8,0,0
2021-01-01,2021-01-24,3,9,0,0
2021-01-01,2021-01-24,3,10,0,0
2021-01-01,2021-01-24,3,11,1,0
2021-01-01,2021-01-24,3,12,0,0
2021-01-01,2021-01-24,3,13,0,0
2021-01-01,2021-01-24,3,14,0,0
2021-01-01,2021-01-24,3,15,0,0
2021-01-01,2021-01-24,3,16,3,0
2021-01-01,2021-01-24,3,17,10,0
2021-01-01,2021-01-24,3,18,29,0
2021-01-01,2021-01-24,3,19,43,0
2021-01-01,2021-01-24,3,20,28,0
2021-01-01,2021-01-24,3,21,43,1
2021-01-01,2021-01-24,3,22,41,1
2021-01-01,2021-01-24,3,23,59,0
2021-01-01,2021-01-24,3,24,71,3
2021-01-01,2021-01-24,3,25,87,1
2021-01-01,2021-01-24,3,26,103,1
2021-01-01,2021-01-24,3,27,179,3
2021-01-01,2021-01-24,3,28,174,1
2021-01-01,2021-01-24,3,29,200,6
2021-01-01,2021-01-24,3,30,217,3
2021-01-01,2021-01-24,3,31,208,0
2021-01-01,2021-01-24,3,32,211,4
2021-01-01,2021-01-24,3,33,189,4
2021-01-01,2021-01-24,3,34,180,2
2021-01-01,2021-01-24,3,35,168,1
2021-01-01,2021-01-24,3,36,149,1
2021-01-01,2021-01-24,3,37,176,2
2021-01-01,2021-01-24,3,38,168,0
2021-01-01,2021-01-24,3,39,166,1
2021-01-01,2021-01-24,3,40,173,2
2021-01-01,2021-01-24,3,41,192,0
2021-01-01,2021-01-24,3,42,199,2
2021-01-01,2021-01-24,3,43,203,3
2021-01-01,2021-01-24,3,44,179,0
2021-01-01,2021-01-24,3,45,177,1
2021-01-01,2021-01-24,3,46,208,2
2021-01-01,2021-01-24,3,47,208,5
2021-01-01,2021-01-24,3,48,205,1
2021-01-01,2021-01-24,3,49,175,2
2021-01-01,2021-01-24,3,50,232,4
2021-01-01,2021-01-24,3,51,211,0
2021-01-01,2021-01-24,3,52,227,0
2021-01-01,2021-01-24,3,53,227,0
2021-01-01,2021-01-24,3,54,267,0
