week_from,week_until,calendar_week,plz,population,ncumul_firstvacc,ncumul_secondvacc
2021-01-01,2021-01-24,3,8001,5473,136,0
2021-01-01,2021-01-24,3,8002,9620,187,0
2021-01-01,2021-01-24,3,8003,20655,274,0
2021-01-01,2021-01-24,3,8004,27183,288,0
2021-01-01,2021-01-24,3,8005,15505,165,0
2021-01-01,2021-01-24,3,8006,18387,486,0
2021-01-01,2021-01-24,3,8008,16571,432,0
2021-01-01,2021-01-24,3,8032,18170,542,0
2021-01-01,2021-01-24,3,8037,16044,238,0
2021-01-01,2021-01-24,3,8038,17299,508,0
2021-01-01,2021-01-24,3,8041,7620,132,0
2021-01-01,2021-01-24,3,8044,10947,398,0
2021-01-01,2021-01-24,3,8045,11222,227,0
2021-01-01,2021-01-24,3,8046,25704,265,0
2021-01-01,2021-01-24,3,8047,20783,345,0
2021-01-01,2021-01-24,3,8048,29694,529,0
2021-01-01,2021-01-24,3,8049,23561,432,0
2021-01-01,2021-01-24,3,8050,28957,320,0
2021-01-01,2021-01-24,3,8051,23000,383,0
2021-01-01,2021-01-24,3,8052,20277,248,0
2021-01-01,2021-01-24,3,8053,11001,340,0
2021-01-01,2021-01-24,3,8055,20196,343,0
2021-01-01,2021-01-24,3,8057,21221,356,0
2021-01-01,2021-01-24,3,8064,3784,43,0
2021-01-01,2021-01-24,3,8102,6717,90,0
2021-01-01,2021-01-24,3,8103,3895,49,0
2021-01-01,2021-01-24,3,8104,2675,35,0
2021-01-01,2021-01-24,3,8105,13633,157,0
2021-01-01,2021-01-24,3,8106,4807,29,0
2021-01-01,2021-01-24,3,8107,6583,42,0
2021-01-01,2021-01-24,3,8108,4174,45,0
2021-01-01,2021-01-24,3,8112,2957,22,0
2021-01-01,2021-01-24,3,8113,1435,8,0
2021-01-01,2021-01-24,3,8114,1865,11,0
2021-01-01,2021-01-24,3,8115,953,5,0
2021-01-01,2021-01-24,3,8117,4564,93,0
2021-01-01,2021-01-24,3,8118,2083,54,0
2021-01-01,2021-01-24,3,8121,1999,43,0
2021-01-01,2021-01-24,3,8122,2231,31,0
2021-01-01,2021-01-24,3,8123,2771,74,0
2021-01-01,2021-01-24,3,8124,2130,33,0
2021-01-01,2021-01-24,3,8125,5209,306,0
2021-01-01,2021-01-24,3,8126,5475,206,0
2021-01-01,2021-01-24,3,8127,4094,106,0
2021-01-01,2021-01-24,3,8132,6883,147,0
2021-01-01,2021-01-24,3,8133,1915,31,0
2021-01-01,2021-01-24,3,8134,18919,265,0
2021-01-01,2021-01-24,3,8135,7781,98,0
2021-01-01,2021-01-24,3,8136,2593,47,0
2021-01-01,2021-01-24,3,8142,4661,107,0
2021-01-01,2021-01-24,3,8143,3768,53,0
2021-01-01,2021-01-24,3,8152,21091,129,0
2021-01-01,2021-01-24,3,8153,8204,170,0
2021-01-01,2021-01-24,3,8154,7205,54,0
2021-01-01,2021-01-24,3,8155,7163,102,0
2021-01-01,2021-01-24,3,8156,2152,39,0
2021-01-01,2021-01-24,3,8157,5942,178,0
2021-01-01,2021-01-24,3,8158,467,12,0
2021-01-01,2021-01-24,3,8162,3608,30,0
2021-01-01,2021-01-24,3,8164,601,3,0
2021-01-01,2021-01-24,3,8165,3909,34,0
2021-01-01,2021-01-24,3,8166,3076,22,0
2021-01-01,2021-01-24,3,8172,4997,54,0
2021-01-01,2021-01-24,3,8173,3153,52,0
2021-01-01,2021-01-24,3,8174,1535,29,0
2021-01-01,2021-01-24,3,8175,755,3,0
2021-01-01,2021-01-24,3,8180,21389,429,0
2021-01-01,2021-01-24,3,8181,2875,19,0
2021-01-01,2021-01-24,3,8182,1979,23,0
2021-01-01,2021-01-24,3,8184,4154,80,0
2021-01-01,2021-01-24,3,8185,4536,58,0
2021-01-01,2021-01-24,3,8187,1932,8,0
2021-01-01,2021-01-24,3,8192,5207,40,0
2021-01-01,2021-01-24,3,8193,5359,54,0
2021-01-01,2021-01-24,3,8194,1051,4,0
2021-01-01,2021-01-24,3,8195,560,3,0
2021-01-01,2021-01-24,3,8196,1468,10,0
2021-01-01,2021-01-24,3,8197,4659,40,0
2021-01-01,2021-01-24,3,8245,2530,30,0
2021-01-01,2021-01-24,3,8246,1088,4,0
2021-01-01,2021-01-24,3,8247,1470,18,0
2021-01-01,2021-01-24,3,8248,1575,41,0
2021-01-01,2021-01-24,3,8302,20144,219,0
2021-01-01,2021-01-24,3,8303,11826,235,0
2021-01-01,2021-01-24,3,8304,16830,166,0
2021-01-01,2021-01-24,3,8305,7849,218,0
2021-01-01,2021-01-24,3,8306,5311,79,0
